community
"['2362', '30008']"
"['14038', '37157']"
"['15917', '23802']"
"['41345', '32638']"
"['44677', '10010']"
"['10921', '32827']"
"['28556', '25714']"
"['41964', '52250']"
"['55313', '52193']"
"['31843', '56926']"
"['32946', '51295']"
"['58224', '36217']"
"['13517', '6469']"
"['43933', '54581']"
"['18577', '1226']"
"['6039', '3935']"
"['32315', '12208']"
"['37278', '15262']"
"['13436', '3248']"
"['50963', '45195']"
"['29568', '28624']"
"['16768', '2767']"
"['15291', '40347']"
"['16236', '16943']"
"['28347', '20910']"
"['30619', '3111']"
"['11880', '14803']"
"['36846', '3016']"
"['35470', '29452']"
"['15351', '26002']"
"['16527', '26299']"
"['24752', '32455']"
"['17521', '12302']"
"['5211', '45869']"
"['24910', '10217']"
"['9500', '52103']"
"['6074', '11230']"
"['22545', '42524']"
"['14565', '21924']"
"['18409', '50216']"
"['39071', '45903']"
"['47012', '4758']"
"['53020', '20392']"
"['7270', '3503']"
"['17582', '6459']"
"['48650', '24629']"
"['31926', '51839']"
"['53491', '21158']"
"['6803', '40225']"
"['8448', '56271']"
"['48044', '2272']"
"['28626', '29716']"
"['22965', '24897']"
"['13376', '28740']"
"['34906', '8169']"
"['38524', '34046']"
"['24759', '18306']"
"['4039', '13981']"
"['20127', '8327']"
"['27380', '24141']"
"['35480', '8652']"
"['51323', '41422']"
"['56742', '48938']"
"['1463', '18290']"
"['36155', '13296']"
"['38464', '15136']"
"['4372', '6924']"
"['12779', '8440']"
"['32485', '44753']"
"['52068', '36765']"
"['45936', '51766']"
"['53456', '36051']"
"['16068', '49995']"
"['33370', '25590']"
"['45400', '43233']"
"['31946', '55401']"
"['27774', '49611']"
"['21256', '20883']"
"['9244', '41369']"
"['24798', '23990']"
"['26147', '5382']"
"['51806', '25272']"
"['25823', '465']"
"['32051', '32687']"
"['10566', '44119']"
"['36620', '9528']"
"['3083', '33667']"
"['46632', '28543']"
"['41215', '48552']"
"['5237', '192']"
"['7396', '55296']"
"['28548', '47190']"
"['48689', '48625']"
"['25438', '52537']"
"['33272', '46402']"
"['153', '30181']"
"['37686', '53178']"
"['41511', '36694']"
"['52846', '39879']"
"['768', '16127']"
"['52017', '6894']"
"['52241', '51278']"
"['937', '34825']"
"['32851', '28966']"
"['21083', '14515']"
"['29806', '36016']"
"['30156', '11715']"
"['27862', '55792']"
"['53583', '42093']"
"['47269', '49829']"
"['13917', '33988']"
"['48696', '40289']"
"['3291', '58141']"
"['17655', '52925']"
"['48476', '9011']"
"['45001', '52070']"
"['22103', '15887']"
"['52332', '18475']"
"['52627', '17506']"
"['18137', '50839']"
"['25769', '10338']"
"['2901', '7527']"
"['8791', '42211']"
"['42004', '55726']"
"['2677', '47146']"
"['36364', '27093']"
"['44619', '14030']"
"['28471', '28379']"
"['24227', '54984']"
"['3680', '25871']"
"['30457', '1271']"
"['40367', '27887']"
"['28626', '33389']"
"['7014', '22326']"
"['4930', '52598']"
"['44866', '20430']"
"['9449', '56963']"
"['57209', '23340']"
"['32088', '40510']"
"['49027', '2036']"
"['35572', '43619']"
"['26069', '49682']"
"['38936', '50057']"
"['40801', '6163']"
"['17692', '1799']"
"['4930', '36177']"
"['51192', '58031']"
"['13344', '46380']"
"['3138', '1360']"
"['41437', '10005']"
"['53153', '11683']"
"['45083', '47295']"
"['29933', '5859']"
"['52017', '2737']"
"['54432', '44474']"
"['2582', '22173']"
"['24686', '510']"
"['2603', '48810']"
"['449', '16832']"
"['38865', '6887']"
"['12009', '47393']"
"['5216', '7880']"
"['2954', '41851']"
"['50085', '24897']"
"['15913', '40866']"
"['56055', '51619']"
"['3439', '24126']"
"['39347', '48367']"
"['5430', '8331']"
"['57035', '14880']"
"['17075', '19688']"
"['54270', '18311']"
"['6085', '8240']"
"['39991', '45021']"
"['49844', '51679']"
"['1852', '16109']"
"['2126', '46726']"
"['10476', '19473']"
"['23436', '45053']"
"['21475', '29818']"
"['6771', '55680']"
"['17043', '53839']"
"['31698', '20303']"
"['3479', '36460']"
"['11764', '44730']"
"['45753', '30241']"
"['33582', '28617']"
"['57938', '52306']"
"['26708', '17756']"
"['58235', '34069']"
"['6429', '292']"
"['14886', '23516']"
"['6375', '32276']"
"['51159', '35098']"
"['52346', '22251']"
"['47008', '25673']"
"['45647', '10594']"
"['6139', '58025']"
"['38199', '33364']"
"['38315', '36654']"
"['47339', '4938']"
"['26373', '6007']"
"['8963', '4260']"
"['31990', '22446']"
"['38617', '39642']"
"['46229', '32469']"
"['46575', '1226']"
"['8363', '5341']"
"['39024', '42058']"
"['4595', '46257']"
"['14595', '17683']"
"['32720', '32368']"
"['5906', '9477']"
"['37878', '38924']"
"['19669', '47916']"
"['13612', '17499']"
"['7541', '57653']"
"['22691', '30861']"
"['8909', '8404']"
"['21613', '25081']"
"['17948', '31367']"
"['33022', '4045']"
"['56785', '25067']"
"['2953', '26776']"
"['18807', '24897']"
"['47344', '26557']"
"['58333', '15438']"
"['48573', '54755']"
"['21859', '27832']"
"['57160', '25127']"
"['7672', '25589']"
"['5847', '26368']"
"['40332', '4237']"
"['34931', '21849']"
"['46148', '14540']"
"['43122', '19962']"
"['38794', '35450']"
"['31350', '20337']"
"['4310', '988']"
"['28882', '24540']"
"['26563', '5734']"
"['52421', '35547']"
"['4640', '16447']"
"['304', '39997']"
"['44616', '9116']"
"['33176', '21079']"
"['27962', '51969']"
"['1602', '49443']"
"['54650', '292']"
"['43550', '38873']"
"['43338', '15462']"
"['14179', '37105']"
"['57337', '5133']"
"['27327', '22633']"
"['7739', '22701']"
"['33993', '20910']"
"['22429', '1647']"
"['14597', '42978']"
"['30936', '42335']"
"['8012', '34792']"
"['31761', '39616']"
"['7482', '32163']"
"['41416', '43214']"
"['56093', '36018']"
"['6832', '6408']"
"['53039', '20187']"
"['10053', '43151']"
"['12685', '27201']"
"['37390', '12150']"
"['47725', '27440']"
"['57384', '25780']"
"['53110', '3616']"
"['40419', '43023']"
"['31872', '6883']"
"['22075', '48061']"
"['53396', '27338']"
"['9761', '6222']"
"['20508', '14880']"
"['47643', '33813']"
"['665', '27486']"
"['17568', '11792']"
"['45185', '36332']"
"['50043', '20818']"
"['4821', '39531']"
"['18783', '14360']"
"['52953', '39852']"
"['23329', '30200']"
"['14548', '9926']"
"['36317', '12064']"
"['34500', '55126']"
"['12141', '262']"
"['36045', '46180']"
"['22099', '39783']"
"['18769', '19557']"
"['52216', '37574']"
"['6393', '9348']"
"['26382', '26678']"
"['33939', '39882']"
"['55656', '49457']"
"['58417', '17770']"
"['28635', '56611']"
"['46150', '41793']"
"['23800', '12934']"
"['49087', '53298']"
"['15152', '49910']"
"['12895', '35601']"
"['24623', '34878']"
"['3215', '15997']"
"['38131', '23930']"
"['9746', '8222']"
"['26350', '1466']"
"['9225', '7266']"
"['5274', '32361']"
"['31271', '24897']"
"['11752', '24897']"
"['53030', '23343']"
"['36456', '36877']"
"['1811', '24818']"
"['38921', '12418']"
"['55190', '896']"
"['30021', '55195']"
"['18438', '34744']"
"['5521', '3016']"
"['49884', '26709']"
"['15785', '35087']"
"['42344', '27897']"
"['45506', '10444']"
"['35941', '1456']"
"['27653', '46006']"
"['27631', '33003']"
"['25299', '43222']"
"['43938', '39627']"
"['35825', '41929']"
"['47174', '57995']"
"['48953', '38420']"
"['2215', '49588']"
"['23289', '51475']"
"['1105', '51212']"
"['15456', '55606']"
"['1378', '37434']"
"['28031', '19356']"
"['18962', '4205']"
"['39211', '47338']"
"['57572', '31319']"
"['53120', '8495']"
"['46351', '21965']"
"['58083', '33239']"
"['48964', '22397']"
"['6626', '10007']"
"['9229', '44709']"
"['41882', '45678']"
"['20988', '45346']"
"['2424', '18185']"
"['4916', '28072']"
"['54764', '25911']"
"['34798', '10536']"
"['42500', '52960']"
"['5413', '22019']"
"['4727', '12967']"
"['9487', '57723']"
"['42853', '37021']"
"['24152', '6229']"
"['30501', '17276']"
"['51331', '9905']"
"['25080', '42258']"
"['29337', '56815']"
"['49090', '13890']"
"['54574', '44157']"
"['57661', '8073']"
"['18019', '17361']"
"['9933', '23231']"
"['43331', '43928']"
"['51762', '40327']"
"['35285', '18343']"
"['9156', '11164']"
"['36305', '45172']"
"['56356', '31913']"
"['54088', '13370']"
"['45990', '18081']"
"['50470', '1431']"
"['46483', '52055']"
"['44362', '24997']"
"['10742', '11170']"
"['11451', '9059']"
"['3508', '57262']"
"['42679', '35975']"
"['18505', '20627']"
"['8248', '47217']"
"['17166', '33831']"
"['54761', '13734']"
"['24291', '42972']"
"['35192', '31994']"
"['27162', '17339']"
"['40938', '51912']"
"['35794', '55956']"
"['45703', '46388']"
"['45397', '6110']"
"['16011', '37864']"
"['5600', '41674']"
"['49279', '47327']"
"['1206', '45144']"
"['38942', '43071']"
"['36203', '21548']"
"['14383', '57434']"
"['52568', '44530']"
"['36263', '44583']"
"['18673', '13420']"
"['11172', '48245']"
"['20944', '110']"
"['47565', '16152']"
"['18104', '43979']"
"['41195', '9377']"
"['29521', '37236']"
"['33861', '45979']"
"['26223', '12130']"
"['5749', '5776']"
"['24646', '15061']"
"['4063', '22421']"
"['42053', '40391']"
"['29899', '36931']"
"['47248', '23482']"
"['43612', '53209']"
"['3777', '9843']"
"['40746', '41768']"
"['24780', '3182']"
"['45321', '50303']"
"['24586', '20841']"
"['10788', '53897']"
"['45686', '22095']"
"['33716', '44925']"
"['34607', '6820']"
"['30458', '26261']"
"['33080', '25950']"
"['21214', '29071']"
"['16551', '57732']"
"['25868', '31622']"
"['33721', '31350']"
"['13902', '15416']"
"['49944', '7884']"
"['984', '54086']"
"['53310', '48551']"
"['12226', '23796']"
"['42186', '21955']"
"['46170', '23745']"
"['40266', '37915']"
"['45542', '25213']"
"['52911', '22608']"
"['8824', '32861']"
"['27839', '43547']"
"['51122', '57412']"
"['30282', '47756']"
"['28633', '57069']"
"['41547', '15132']"
"['42029', '54617']"
"['16284', '52084']"
"['55665', '20395']"
"['44490', '56240']"
"['29822', '29615']"
"['42200', '54549']"
"['45723', '36524']"
"['3300', '33426']"
"['36078', '49274']"
"['14347', '12094']"
"['2748', '41647']"
"['4417', '48718']"
"['40432', '24897']"
"['3388', '56710']"
"['58288', '35097']"
"['208', '25381']"
"['27011', '31722']"
"['26149', '11105']"
"['42399', '24981']"
"['6655', '22128']"
"['56319', '46651']"
"['15089', '40443']"
"['8620', '52643']"
"['11642', '15756']"
"['21797', '46105']"
"['46595', '49022']"
"['15959', '20963']"
"['11519', '5644']"
"['37577', '12546']"
"['37429', '29844']"
"['53310', '51241']"
"['3229', '39198']"
"['409', '39988']"
"['1444', '40840']"
"['23068', '19542']"
"['5812', '47237']"
"['53368', '12999']"
"['20289', '27542']"
"['51691', '33018']"
"['47519', '33035']"
"['39424', '24721']"
"['41689', '51364']"
"['31579', '13592']"
"['42274', '30836']"
"['18463', '6085']"
"['2709', '56548']"
"['51774', '28740']"
"['52', '14486']"
"['17428', '32145']"
"['18302', '56320']"
"['13203', '32393']"
"['15003', '28221']"
"['22745', '15708']"
"['14072', '38986']"
"['18071', '46180']"
"['56807', '1655']"
"['1933', '53246']"
"['43955', '47193']"
"['28990', '9091']"
"['37089', '31740']"
"['7997', '28034']"
"['459', '55024']"
"['30279', '43204']"
"['49555', '20362']"
"['12283', '47440']"
"['44455', '1784']"
"['50864', '18324']"
"['8415', '36592']"
"['52262', '6695']"
"['54022', '49674']"
"['22095', '32898']"
"['30321', '29861']"
"['41401', '988']"
"['1056', '41369']"
"['12539', '1985']"
"['55917', '43254']"
"['4735', '9442']"
"['39896', '51164']"
"['7308', '20344']"
"['33212', '44444']"
"['29106', '17803']"
"['3224', '16910']"
"['38857', '17010']"
"['26687', '1953']"
"['47991', '27871']"
"['4396', '41467']"
"['42207', '10640']"
"['44270', '38978']"
"['40719', '54612']"
"['33013', '30420']"
"['41263', '2261']"
"['2430', '38636']"
"['6788', '1226']"
"['39901', '49164']"
"['45137', '23685']"
"['24021', '36941']"
"['20519', '28198']"
"['40717', '53890']"
"['39749', '349']"
"['20734', '17559']"
"['12176', '24367']"
"['5862', '32984']"
"['3454', '30112']"
"['48342', '36515']"
"['46420', '34447']"
"['55652', '52971']"
"['9274', '36337']"
"['18258', '5217']"
"['9798', '49410']"
"['18149', '6043']"
"['38532', '757']"
"['45003', '51777']"
"['20101', '44119']"
"['54317', '16799']"
"['18391', '49682']"
"['6262', '37305']"
"['17389', '26776']"
"['56797', '33487']"
"['48456', '1955']"
"['23369', '36801']"
"['30846', '4844']"
"['18359', '56891']"
"['38487', '18640']"
"['4645', '10130']"
"['20081', '55534']"
"['11215', '23159']"
"['33947', '47381']"
"['47363', '1391']"
"['33314', '37093']"
"['54635', '42062']"
"['36597', '27986']"
"['2213', '16462']"
"['39837', '38838']"
"['50159', '42994']"
"['5905', '55296']"
"['20907', '37392']"
"['7599', '20167']"
"['39650', '28260']"
"['22064', '29457']"
"['19008', '56099']"
"['17201', '26029']"
"['11581', '2831']"
"['4043', '36353']"
"['10573', '56885']"
"['46197', '23883']"
"['16664', '49049']"
"['55864', '17965']"
"['22599', '42255']"
"['43954', '43341']"
"['2144', '55490']"
"['44653', '17485']"
"['19065', '108']"
"['50139', '14840']"
"['1429', '30469']"
"['3468', '32359']"
"['375', '33831']"
"['54816', '58375']"
"['36133', '5382']"
"['52562', '27447']"
"['55486', '441']"
"['25723', '15819']"
"['58597', '45769']"
"['37003', '26503']"
"['25131', '20044']"
"['43556', '16070']"
"['43479', '32709']"
"['39069', '31943']"
"['10833', '42292']"
"['21101', '29652']"
"['23798', '41747']"
"['53133', '30297']"
"['53609', '51912']"
"['14264', '47318']"
"['26327', '2225']"
"['18342', '51222']"
"['10717', '24404']"
"['10777', '11337']"
"['25053', '48604']"
"['14464', '4061']"
"['41068', '40885']"
"['41870', '48070']"
"['22789', '1226']"
"['56284', '33953']"
"['33515', '49938']"
"['44910', '20069']"
"['10163', '7784']"
"['17562', '47576']"
"['44520', '39445']"
"['53672', '53899']"
"['34331', '5886']"
"['49375', '17974']"
"['48318', '23516']"
"['41072', '7057']"
"['26011', '12556']"
"['11845', '57823']"
"['3966', '34336']"
"['58144', '51025']"
"['4117', '35036']"
"['47663', '32192']"
"['50619', '49696']"
"['50108', '23234']"
"['32854', '50273']"
"['18679', '57700']"
"['7125', '38764']"
"['16744', '9585']"
"['52444', '29579']"
"['35026', '1214']"
"['54007', '29910']"
"['50971', '29521']"
"['51231', '13805']"
"['10158', '37262']"
"['21215', '15716']"
"['10554', '9569']"
"['45462', '6969']"
"['7844', '11272']"
"['22445', '25515']"
"['2980', '2640']"
"['52841', '47127']"
"['58082', '57259']"
"['50899', '50929']"
"['47660', '356']"
"['54627', '49135']"
"['932', '23436']"
"['40770', '30846']"
"['39396', '11481']"
"['7779', '5816']"
"['29917', '28747']"
"['13860', '42577']"
"['1782', '26633']"
"['18422', '54474']"
"['27045', '33895']"
"['34823', '48353']"
"['11218', '27093']"
"['33621', '24390']"
"['40611', '49471']"
"['48798', '17027']"
"['52655', '17081']"
"['22274', '3211']"
"['16854', '38969']"
"['34198', '14057']"
"['25369', '40892']"
"['35859', '23625']"
"['2608', '53440']"
"['13938', '1081']"
"['6047', '51912']"
"['35207', '42653']"
"['11597', '46400']"
"['44982', '52147']"
"['23598', '56911']"
"['33704', '6437']"
"['41847', '46777']"
"['27530', '22754']"
"['14923', '43188']"
"['1517', '52715']"
"['29336', '16141']"
"['26919', '20528']"
"['22786', '31319']"
"['42277', '1205']"
"['50074', '13997']"
"['42342', '17501']"
"['43463', '36155']"
"['45441', '6211']"
"['26434', '2867']"
"['31861', '19322']"
"['43549', '35251']"
"['22696', '15898']"
"['36335', '16910']"
"['48709', '4544']"
"['55395', '29139']"
"['9182', '6820']"
"['4936', '33833']"
"['21752', '8003']"
"['34307', '24808']"
"['43601', '8338']"
"['47791', '53469']"
"['37876', '17546']"
"['25612', '1456']"
"['30415', '9433']"
"['16827', '36593']"
"['49386', '46402']"
"['31275', '53421']"
"['10935', '43744']"
"['41828', '29826']"
"['11539', '29865']"
"['1098', '51969']"
"['12433', '32536']"
"['50049', '15752']"
"['48890', '37528']"
"['1527', '38006']"
"['35150', '1626']"
"['16790', '15551']"
"['29779', '21425']"
"['4874', '6191']"
"['3093', '7286']"
"['14135', '54715']"
"['26524', '10215']"
"['37542', '2062']"
"['20115', '57241']"
"['40731', '42302']"
"['39180', '5918']"
"['14865', '57969']"
"['42952', '36384']"
"['10791', '41598']"
"['3168', '53469']"
"['12462', '30795']"
"['47878', '16568']"
"['48903', '42364']"
"['36658', '17401']"
"['13963', '35029']"
"['24772', '38490']"
"['42796', '38031']"
"['53191', '30991']"
"['21864', '1704']"
"['57543', '4544']"
"['47802', '58615']"
"['31506', '8641']"
"['8716', '33837']"
"['15431', '12135']"
"['10098', '41686']"
"['29516', '41979']"
"['5707', '41669']"
"['36253', '41793']"
"['2365', '7576']"
"['46539', '39760']"
"['11100', '50789']"
"['57279', '42026']"
"['25303', '55325']"
"['35179', '20728']"
"['4986', '56251']"
"['4317', '9936']"
"['50337', '39421']"
"['2897', '54396']"
"['38996', '37980']"
"['49032', '31869']"
"['18343', '760']"
"['16980', '24691']"
"['4152', '51251']"
"['27210', '27545']"
"['21629', '13564']"
"['33387', '47104']"
"['9570', '19852']"
"['55814', '3670']"
"['10821', '3310']"
"['55427', '12776']"
"['25343', '4035']"
"['15154', '9347']"
"['1785', '52445']"
"['54964', '17546']"
"['25876', '23933']"
"['33859', '48937']"
"['29478', '19559']"
"['27830', '26878']"
"['32326', '276']"
"['17114', '303']"
"['51109', '46256']"
"['38082', '16462']"
"['14053', '197']"
"['3595', '28013']"
"['51685', '21327']"
"['39021', '13752']"
"['31727', '45554']"
"['40902', '1285']"
"['20683', '47217']"
"['44380', '17511']"
"['50900', '41576']"
"['2060', '17132']"
"['42909', '41331']"
"['40879', '49106']"
"['8665', '9548']"
"['16136', '44527']"
"['1811', '25258']"
"['15598', '29297']"
"['51365', '7344']"
"['56228', '11286']"
"['32733', '28742']"
"['21784', '8173']"
"['8584', '7225']"
"['13540', '34857']"
"['48168', '52817']"
"['55031', '56548']"
"['42389', '6437']"
"['23305', '24778']"
"['27497', '42216']"
"['21850', '21509']"
"['51464', '5913']"
"['53142', '19535']"
"['26211', '44250']"
"['32225', '46519']"
"['45249', '14280']"
"['4751', '38855']"
"['27304', '33959']"
"['46730', '36671']"
"['25356', '56843']"
"['55527', '30409']"
"['49407', '48238']"
"['56458', '41548']"
"['5905', '33038']"
"['44924', '36101']"
"['6864', '49427']"
"['30917', '50507']"
"['32463', '751']"
"['49374', '46272']"
"['51977', '29461']"
"['30252', '27897']"
"['26736', '21391']"
"['4256', '48583']"
"['52558', '28819']"
"['29872', '31735']"
"['1596', '1953']"
"['55406', '51177']"
"['18338', '31089']"
"['57427', '49682']"
"['5696', '4764']"
"['17671', '17404']"
"['31710', '26700']"
"['17703', '52864']"
"['32367', '19436']"
"['24482', '3338']"
"['17969', '22920']"
"['455', '45362']"
"['12645', '2705']"
"['44137', '56132']"
"['21830', '11604']"
"['24414', '36931']"
"['53018', '7918']"
"['42683', '14399']"
"['31667', '8466']"
"['7205', '50179']"
"['41607', '46170']"
"['24011', '28466']"
"['21560', '54721']"
"['19130', '33434']"
"['57041', '1655']"
"['14362', '275']"
"['16086', '48795']"
"['34154', '37500']"
"['46517', '12502']"
"['11545', '16407']"
"['20484', '53820']"
"['42190', '32814']"
"['26720', '47218']"
"['25832', '13616']"
"['1375', '52360']"
"['4973', '17482']"
"['47662', '17194']"
"['25589', '34331']"
"['14765', '51015']"
"['21400', '41859']"
"['33262', '15657']"
"['3916', '42350']"
"['16065', '11002']"
"['26644', '4968']"
"['7052', '12655']"
"['55839', '23565']"
"['7862', '10418']"
"['51033', '46491']"
"['54918', '52498']"
"['8925', '45568']"
"['39956', '41420']"
"['33819', '35168']"
"['740', '1327']"
"['32863', '14574']"
"['27186', '45803']"
"['15613', '5469']"
"['55300', '9568']"
"['11674', '11653']"
"['11188', '13370']"
"['47115', '39358']"
"['31577', '33100']"
"['39147', '11504']"
"['43123', '19617']"
"['39974', '26393']"
"['48282', '47510']"
"['2383', '42749']"
"['25413', '27811']"
"['33645', '24897']"
"['32435', '12530']"
"['46091', '30320']"
"['48208', '2583']"
"['43091', '7804']"
"['43972', '27036']"
"['9661', '17831']"
"['35268', '16468']"
"['2115', '16462']"
"['39851', '3733']"
"['12046', '32848']"
"['41478', '22961']"
"['27374', '28279']"
"['39846', '12000']"
"['19440', '36992']"
"['36782', '21130']"
"['44040', '53100']"
"['54151', '18729']"
"['10445', '55566']"
"['34470', '31463']"
"['3514', '39224']"
"['52526', '6108']"
"['6355', '26669']"
"['28689', '338']"
"['26129', '37939']"
"['52167', '48212']"
"['40155', '44114']"
"['4184', '3856']"
"['16017', '26878']"
"['50544', '47077']"
"['4562', '51986']"
"['15950', '15262']"
"['56745', '18422']"
"['22408', '2261']"
"['41355', '29261']"
"['11335', '7670']"
"['34543', '5135']"
"['25788', '30887']"
"['36311', '3016']"
"['6891', '11973']"
"['29996', '44405']"
"['51972', '6309']"
"['38676', '37439']"
"['57884', '5133']"
"['40754', '2314']"
"['43254', '42445']"
"['11453', '26077']"
"['32943', '49074']"
"['46556', '41346']"
"['11001', '38557']"
"['36795', '7953']"
"['24149', '10509']"
"['49972', '34108']"
"['8412', '54222']"
"['47371', '4871']"
"['20617', '58392']"
"['51255', '55404']"
"['45684', '101']"
"['34127', '17612']"
"['14497', '31035']"
"['49017', '45464']"
"['3057', '17209']"
"['41602', '38044']"
"['40313', '22780']"
"['31966', '28419']"
"['14145', '27137']"
"['50868', '58462']"
"['55067', '21687']"
"['48592', '17974']"
"['44442', '9276']"
"['30007', '7874']"
"['54051', '57384']"
"['35710', '22774']"
"['49297', '21157']"
"['33500', '49914']"
"['25394', '57857']"
"['46424', '1862']"
"['18668', '7347']"
"['54167', '11719']"
"['39968', '22305']"
"['37160', '44732']"
"['39126', '41413']"
"['7176', '4885']"
"['11750', '3232']"
"['30229', '24544']"
"['23680', '47461']"
"['36469', '25611']"
"['15780', '10770']"
"['49706', '4414']"
"['41173', '7142']"
"['12156', '26261']"
"['23664', '49682']"
"['11840', '12353']"
"['3455', '45030']"
"['1252', '55826']"
"['31571', '38391']"
"['21755', '56946']"
"['22503', '20222']"
"['54703', '39326']"
"['39581', '49977']"
"['34115', '1226']"
"['24055', '30505']"
"['38734', '28379']"
"['31116', '8333']"
"['5859', '32989']"
"['26868', '25686']"
"['9839', '44643']"
"['6535', '47486']"
"['45811', '12977']"
"['50315', '29964']"
"['51958', '56378']"
"['56900', '10418']"
"['23512', '18024']"
"['10032', '38989']"
"['24312', '49471']"
"['55883', '55204']"
"['52706', '53899']"
"['29364', '46424']"
"['49621', '16070']"
"['10182', '21868']"
"['57985', '33361']"
"['27489', '52376']"
"['43310', '44219']"
"['58008', '3966']"
"['4577', '9793']"
"['30357', '38298']"
"['20435', '51584']"
"['23799', '52206']"
"['54058', '39598']"
"['16055', '19728']"
"['26755', '12048']"
"['18955', '16157']"
"['32445', '55490']"
"['35241', '43607']"
"['49120', '1180']"
"['57426', '47309']"
"['13310', '49674']"
"['56334', '27495']"
"['55487', '20526']"
"['18583', '8500']"
"['10087', '20157']"
"['56129', '25038']"
"['35437', '14253']"
"['24348', '26392']"
"['44660', '18387']"
"['13882', '49908']"
"['57817', '52160']"
"['57681', '37118']"
"['1866', '35010']"
"['2451', '18789']"
"['8200', '30577']"
"['3082', '20303']"
"['6367', '8443']"
"['6125', '47707']"
"['29025', '8256']"
"['49576', '39991']"
"['44465', '31766']"
"['36857', '32643']"
"['28394', '18822']"
"['1174', '58007']"
"['39439', '48168']"
"['14838', '44530']"
"['14796', '23731']"
"['56313', '14868']"
"['5337', '5336']"
"['8667', '12584']"
"['47547', '41398']"
"['37407', '14408']"
"['7659', '50610']"
"['56721', '34896']"
"['30498', '7220']"
"['10660', '9528']"
"['29928', '22673']"
"['5785', '1865']"
"['25656', '3424']"
"['32475', '34620']"
"['42490', '12665']"
"['22118', '20841']"
"['26024', '48033']"
"['43303', '32830']"
"['40783', '38907']"
"['3385', '39460']"
"['28539', '22847']"
"['19712', '25773']"
"['18110', '58293']"
"['41394', '43619']"
"['25181', '36982']"
"['26062', '26795']"
"['44792', '3543']"
"['31845', '51137']"
"['56585', '5467']"
"['31577', '6929']"
"['22032', '9939']"
"['28885', '55053']"
"['233', '26970']"
"['15095', '47297']"
"['1673', '21105']"
