node1,node2
5743,['4203']
5746,['1623']
5752,['3045']
5753,['2226']
5754,['198']
5755,"['4964', '5013']"
5756,['2866']
5759,['272']
5769,['4343']
5771,"['5183', '2806']"
5772,['1358']
5776,['5510']
5779,['1081']
5782,['2351']
5784,['863']
5786,['5123']
5790,['4118']
5791,['5331']
5795,['3025']
5796,['4855']
5798,['1092']
5801,['836']
5803,"['4417', '174']"
5808,['3089']
5813,['5319']
5816,"['2330', '1437', '218']"
5819,['1596']
5821,"['2175', '5428']"
5827,['4779']
5831,['3952']
5833,"['1287', '4483']"
5835,"['376', '1936']"
5839,['4113']
5843,"['4676', '2558']"
5847,"['4222', '113', '3570', '4275', '5810']"
5848,['215']
5859,"['1835', '2291']"
5863,['2457']
5866,['3403']
5869,"['5409', '5622']"
5871,['2952']
5872,"['3559', '3420']"
5873,['1968']
5874,['5371']
5877,['4302']
5879,"['4232', '2176']"
5881,"['1770', '466', '3042']"
5882,['2170']
5886,['2768']
5888,['1129']
5890,['2780']
5895,"['33', '3384']"
5898,['665']
5902,['3022']
5909,['4374']
5910,['3493']
5915,['3567']
5917,['3940']
5918,['4144']
5920,['4386']
5924,['1342']
5928,['5271']
5931,['995']
5932,['5730']
5934,['2102']
5935,['210']
5937,['4677']
5944,['501']
5946,['1812']
5949,['4383']
5951,['3594']
5952,"['1904', '3706']"
5954,['229']
5963,"['133', '77']"
5964,['1803']
5971,['4520']
5973,"['1506', '77']"
5989,['4013']
5992,['3522']
5993,['881']
5995,['2174']
5996,['4757']
5997,['2628']
5999,"['2052', '4296']"
6002,['2069']
6004,['2797']
6007,['2590']
6009,"['5844', '5347']"
6011,['2363']
6020,['2089']
6022,['5385']
6024,['729']
6028,['3808']
6029,['3778']
6030,"['3263', '1624']"
6033,['3475']
6034,['2915']
6035,['5762']
6039,['3935']
6043,['5057']
6044,['4034']
6050,['3768']
6051,"['2684', '409']"
6055,['26']
6056,"['3995', '601', '5032']"
6060,['4520']
6070,['3777']
6071,"['2872', '4926']"
6080,"['4787', '4070']"
6085,"['4605', '4415', '2660', '365']"
6086,['1689']
6089,['5440']
6092,['1213']
6096,['894']
6101,['616']
6103,['9']
6108,['1311']
6109,['1865']
6115,['5082']
6117,['3972']
6128,"['4454', '3421']"
6130,['1469']
6131,['384']
6135,['3541']
6137,['2792']
6139,['6020']
6144,['5356']
6146,['2480']
6152,['465']
6156,['6132']
6160,['5609']
6167,['5489']
6170,['4917']
6172,['4183']
6173,"['5056', '3951']"
6174,"['5710', '5753']"
6177,['5441']
6181,['2976']
6191,['3874']
6204,"['3142', '3941']"
6210,"['1830', '286']"
6213,"['3246', '665']"
6214,['4165']
6215,['5800']
6217,['5621']
6218,"['5412', '3752']"
6221,['3148']
6222,['247']
6225,['1840']
6231,"['1328', '2850']"
6234,['2705']
6235,['356']
6238,['5042']
6241,['3469']
6242,['5579']
6244,['4874']
6245,['3592']
6250,['4314']
6256,"['4516', '904']"
6257,"['3617', '515']"
6259,['2638']
6260,['2173']
6261,['5902']
6266,['4045']
6268,['1652']
6270,['1200']
6273,['1589']
6274,['3191']
6280,"['2763', '6229']"
6285,"['5257', '3218', '1024', '4024']"
6301,['2759']
6306,['1617']
6307,['2198']
6309,"['76', '6298']"
6311,['1721']
6312,['4815']
6319,"['702', '519']"
6320,"['2429', '3460']"
6322,['5749']
6325,['3148']
6327,"['4510', '1459', '316']"
6329,['2174']
6332,"['885', '5191']"
6334,['547']
6340,['5385']
6342,['1655']
6344,['5843']
6345,"['3413', '992', '5898']"
6347,['5175']
6348,['142']
6351,['2357']
6356,"['147', '2956']"
6360,['4301']
6361,['2706']
6363,['1474']
6365,['5071']
6366,['5499']
6369,['932']
6371,"['3390', '1378', '3558']"
6375,['4271']
6380,['6240']
6382,['2030']
6385,['4300']
6386,['6144']
6392,['1274']
6393,['3939']
6401,['4611']
6405,"['5338', '4559']"
6407,['4055']
6410,"['1123', '4993']"
6416,['3575']
6418,['1617']
6421,"['2074', '1363']"
6422,['5621']
6423,['5720']
6424,['3495']
6426,"['3233', '1274']"
6429,['292']
6432,['700']
6436,['4355']
6438,"['6308', '1858']"
6440,['2743']
6448,['804']
6449,"['441', '478', '33']"
6451,['2639']
6455,['4335']
6457,['5316']
6464,['917']
6467,"['5921', '6246']"
6468,['22']
6471,"['2419', '1513']"
6472,['2388']
6473,['5614']
6474,['4911']
6475,['5194']
6476,['5264']
6479,['2782']
6482,"['4785', '1817']"
6483,['2764']
6489,['2231']
6493,['4640']
6500,"['3559', '116', '2759']"
6501,['164']
6502,"['2509', '1866']"
6504,['4610']
6507,['3807']
6508,['3930']
6512,['5764']
6514,['6125']
6515,['493']
6517,['6469']
6524,['6468']
6525,['5892']
6527,"['5974', '3556', '4901']"
6529,['414']
6532,['5353']
6534,['1074']
6535,['881']
6537,['5752']
6540,['1402']
6544,['303']
6545,"['3044', '3618']"
6549,['2134']
6551,['1594']
6552,['961']
6553,"['2176', '1775']"
6564,['288']
6567,['5433']
6569,['2142']
6570,['5754']
6571,"['3896', '2564']"
6572,['2382']
6579,['4913']
6580,['1920']
6584,['6480']
6585,['1313']
6586,['2421']
6589,"['4940', '625']"
6590,"['1301', '4779']"
6591,['174']
6596,['4049']
6598,"['5977', '3407']"
6599,"['6553', '6089']"
6600,['6462']
6604,['2985']
6606,['2649']
6607,['6231']
6609,['2363']
6614,"['1586', '5497']"
6617,['139']
6620,['253']
6626,['1408']
6630,['4843']
6631,['3638']
6633,"['5194', '3075']"
6636,"['5602', '5307']"
6637,"['1882', '5097', '2761']"
6638,['2639']
6642,['3726']
6645,"['2269', '3236']"
6648,['3488']
6649,['28']
6651,['3017']
6652,"['3385', '1547']"
6654,['913']
6659,['2496']
6661,['1474']
6662,"['5773', '526']"
6664,['5242']
6665,['4734']
6669,"['5474', '2046']"
6671,['6308']
6672,['3423']
6673,['2871']
6680,['5862']
6687,['2940']
6688,"['1657', '4709']"
6690,"['5137', '2305']"
6692,['1279']
6693,['1437']
6696,['3904']
6699,['609']
6700,"['3009', '1256']"
6703,['173']
6708,"['1088', '5362']"
6714,['2438']
6716,['3951']
6717,"['5100', '5135']"
6718,"['4123', '6086']"
6719,['1060']
6721,['1624']
6729,['1994']
6731,['4628']
6732,['1787']
6734,"['4575', '2631']"
6740,['402']
6741,['1402']
6743,['2363']
6748,['6554']
6751,['6319']
6755,"['491', '1953']"
6760,['3163']
6765,['2784']
6766,['1970']
6770,"['6011', '6618']"
6771,['640']
6772,['2956']
6776,['2596']
6779,['3270']
6780,['4501']
6783,['2426']
6785,['2395']
6786,['6275']
6787,['650']
6790,['5356']
6796,['6349']
6798,['4805']
6799,['3308']
6801,['1583']
6803,['2967']
6804,"['6072', '609']"
6809,['242']
6813,['6004']
6817,['3868']
6824,['6051']
6826,['3045']
6830,"['6011', '6743', '1566', '5082']"
6831,['3617']
6834,['4603']
6835,"['5764', '1407', '6508']"
6844,['2372']
6850,['2838']
6859,['4581']
6862,['6655']
6864,['4443']
6865,['28']
6876,"['227', '1407']"
6880,['3653']
6882,['4381']
6883,['2123']
6884,['48']
6885,"['3311', '5593']"
6887,"['3814', '3582', '865']"
6889,"['4721', '6271']"
6892,['1484']
6894,['2066']
6899,['3830']
6906,"['6002', '1733']"
6909,['3956']
6912,['1762']
6920,['6441']
6921,['84']
6922,['4719']
6929,['5470']
6932,['1949']
6933,"['1214', '4584']"
6934,['6811']
6936,"['2436', '189']"
6938,['4038']
6940,['5404']
6942,['1689']
6945,['1421']
6946,['666']
6948,"['4759', '5535', '4323']"
6949,['4023']
6950,['6703']
6951,['3059']
6952,['3376']
6954,"['1749', '3822']"
6957,"['461', '2780']"
6959,['3587']
6960,['1316']
6961,['3956']
6964,['6449']
6965,['2472']
6966,['3348']
6968,['3776']
6969,"['983', '5910']"
6971,['1363']
6973,['4886']
6982,['6553']
6986,"['1729', '179', '3848']"
6987,['2426']
6994,['1156']
6999,"['4383', '2833']"
7000,['5590']
7003,['5081']
7004,['2844']
7006,['4630']
7008,['963']
7009,['963']
7010,['1292']
7013,"['2', '5057']"
7016,['6869']
7017,['616']
7018,['6025']
7019,"['3553', '5200']"
7020,"['269', '3575', '5888']"
7021,"['1313', '5955']"
7022,['3082']
7025,['2890']
7027,"['5998', '4721', '3630']"
7028,['2895']
7033,['1053']
7034,['3074']
7039,['3169']
7040,"['118', '1276']"
7041,['5896']
7045,['4838']
7046,['4019']
7047,['4301']
7051,['3437']
7053,['4314']
7057,['3433']
7061,['1149']
7062,"['5702', '1914']"
7066,"['2310', '1040']"
7068,['3633']
7073,['995']
7078,['4156']
7079,['5194']
7083,"['4895', '3322']"
7086,['4173']
7088,['994']
7092,"['3369', '3474']"
7102,['3191']
7109,['525']
7110,"['2087', '2165']"
7117,['6115']
7118,"['424', '4445']"
7119,['324']
7120,['4119']
7122,"['970', '3810', '4601']"
7127,['2006']
7128,['3802']
7129,['2402']
7132,['6510']
7133,['4562']
7137,"['758', '7058', '562']"
7142,['2956']
7143,['6808']
7144,"['6389', '2872']"
7146,['1627']
7148,['1014']
7151,['5444']
7152,"['3784', '4836']"
7153,"['2383', '6576']"
7154,['2935']
7157,['3886']
7160,['4367']
7166,['5474']
7184,['5702']
7185,"['6042', '4651']"
7186,['2978']
7191,"['5858', '5472']"
7193,['6461']
7197,['1870']
7198,['1820']
7211,['1337']
7219,['3953']
7220,"['4576', '428', '3890']"
7228,"['432', '137']"
7234,['3830']
7239,['593']
7246,['6700']
7247,['4944']
7249,['4199']
7252,['724']
7253,['1312']
7254,['1937']
7259,"['1127', '915']"
7266,"['4284', '837', '5020']"
7268,['5103']
7269,['1694']
7270,['5569']
7276,"['5169', '5812', '218']"
7277,"['3925', '551']"
7280,"['2123', '4865', '171']"
7282,['4990']
7284,"['7090', '237', '6214']"
7291,['638']
7293,['5121']
7294,['599']
7296,['6425']
7298,['2903']
7304,['6954']
7308,['840']
7310,['4924']
7313,['2924']
7315,"['3924', '1915', '1111']"
7316,['6799']
7319,['5705']
7320,"['1903', '7075']"
7322,"['584', '903']"
7323,['1344']
7327,['7279']
7331,['785']
7332,['4936']
7333,['4092']
7334,"['554', '92']"
7335,['1844']
7340,['4186']
7341,['4685']
7343,['6827']
7347,['5453']
7348,['5292']
7354,"['5851', '3466']"
7356,['5951']
7359,['3376']
7360,['1841']
7361,['598']
7363,['357']
7364,"['1604', '3034']"
7374,['3953']
7378,['7214']
7380,['3852']
7387,"['2774', '6479']"
7393,['1235']
7394,['1407']
7396,['1660']
7397,['860']
7398,['25']
7401,['4091']
7406,"['6117', '2396']"
7407,"['2947', '3464']"
7410,['3505']
7411,['4896']
7413,['7092']
7414,"['3806', '4827', '2878']"
7415,['1392']
7419,['1975']
7420,['5441']
7423,"['3910', '5539']"
7424,['2020']
7426,"['7268', '982']"
7430,['3397']
7433,"['7107', '6750']"
7440,['3572']
7447,['758']
7448,['7034']
7449,['1873']
7450,['3606']
7451,['7168']
7452,"['3397', '945', '3572']"
7460,['5704']
7463,['95']
7469,['4406']
7472,['6769']
7473,['3168']
7474,['6969']
7475,['3586']
7477,['5957']
7478,"['3399', '2697', '5411']"
7480,['488']
7488,['1981']
7490,"['1790', '4094']"
7492,['261']
7494,"['6498', '503']"
7495,"['3619', '2579', '853']"
7499,['3564']
7501,['1661']
7502,"['2737', '5739', '2676']"
7507,['5649']
7508,['673']
7510,['6489']
7512,['6694']
7514,"['6095', '3687']"
7515,['2801']
7517,"['4373', '5159']"
7523,['5793']
7525,['3779']
7527,['5718']
7531,"['7287', '6032', '1024']"
7536,['3474']
7540,"['5888', '3801']"
7543,['4003']
7544,"['2685', '801']"
7545,['6211']
7547,"['3086', '203']"
7548,['1330']
7561,['5341']
7565,"['6122', '893']"
7574,['2093']
7578,"['863', '1684']"
7579,"['2639', '5458']"
7580,"['5774', '3604', '5947']"
7584,['3263']
7585,['4869']
7595,['1330']
7599,['5027']
7603,['1841']
7605,['611']
7606,"['1010', '5063']"
7609,"['5514', '5371']"
7610,"['2261', '5057']"
7611,['7000']
7612,['1422']
7613,"['2283', '6013']"
7619,['5586']
7621,"['6523', '479']"
7622,['4965']
7626,['5570']
7627,['4']
